Time,Current,Filtered,Current.1
0.846,6.43037e-10,,
0.847,6.42715e-10,,
0.848,6.42715e-10,,
0.849,6.423929e-10,,
0.85,6.43037e-10,,
0.851,6.42715e-10,,
0.852,6.42715e-10,,
0.853,6.423929e-10,,
0.854,6.43037e-10,,
0.855,6.42715e-10,,
0.856,6.43037e-10,,
0.857,6.42715e-10,,
0.858,6.43037e-10,,
0.859,6.423929e-10,,
0.86,6.423929e-10,,
0.861,6.43037e-10,,
0.862,6.423929e-10,,
0.863,6.423929e-10,,
0.864,6.420708e-10,,
0.865,6.420708e-10,,
0.866,6.417488e-10,,
0.867,6.417488e-10,,
0.868,6.417488e-10,,
0.869,6.423929e-10,,
0.87,6.417488e-10,,
0.871,6.417488e-10,,
0.872,6.414267e-10,,
0.873,6.420708e-10,,
0.874,6.420708e-10,,
0.875,6.420708e-10,,
0.876,6.417488e-10,,
0.877,6.417488e-10,,
0.878,6.411046e-10,,
0.879,6.414267e-10,,
0.88,6.414267e-10,,
0.881,6.411046e-10,,
0.882,6.411046e-10,,
0.883,6.407825e-10,,
0.884,6.411046e-10,,
0.885,6.411046e-10,,
0.886,6.401384e-10,,
0.887,6.404605e-10,,
0.888,6.411046e-10,,
0.889,6.401384e-10,,
0.89,6.404605e-10,,
0.891,6.411046e-10,,
0.892,6.404605e-10,,
0.893,6.401384e-10,,
0.894,6.401384e-10,,
0.895,6.401384e-10,,
0.896,6.398163e-10,,
0.897,6.398163e-10,,
0.898,6.398163e-10,,
0.899,6.398163e-10,,
0.9,6.398163e-10,,
0.901,6.398163e-10,,
0.902,6.394943e-10,,
0.903,6.394943e-10,,
0.904,6.385281e-10,,
0.905,6.391722e-10,,
0.906,6.391722e-10,,
0.907,6.398163e-10,,
0.908,6.394943e-10,,
0.909,6.391722e-10,,
0.91,6.394943e-10,,
0.911,6.391722e-10,,
0.912,6.385281e-10,,
0.913,6.378839e-10,,
0.914,6.38206e-10,,
0.915,6.385281e-10,,
0.916,6.385281e-10,,
0.917,6.38206e-10,,
0.918,6.38206e-10,,
0.919,6.385281e-10,,
0.92,6.38206e-10,,
0.921,6.378839e-10,,
0.922,6.378839e-10,,
0.923,6.38206e-10,,
0.924,6.375619e-10,,
0.925,6.378839e-10,,
0.926,6.372398e-10,,
0.927,6.375619e-10,,
0.928,6.375619e-10,,
0.929,6.369177e-10,,
0.93,6.369177e-10,,
0.931,6.369177e-10,,
0.932,6.372398e-10,,
0.933,6.369177e-10,,
0.934,6.365957e-10,,
0.935,6.365957e-10,,
0.936,6.365957e-10,,
0.937,6.365957e-10,,
0.938,6.365957e-10,,
0.939,6.365957e-10,,
0.94,6.369177e-10,,
0.941,6.369177e-10,,
0.942,6.365957e-10,,
0.943,6.365957e-10,,
0.944,6.359515e-10,,
0.945,6.359515e-10,,
0.946,6.359515e-10,,
0.947,6.359515e-10,,
0.948,6.359515e-10,,
0.949,6.362736e-10,,
0.95,6.356295e-10,,
0.951,6.359515e-10,,
0.952,6.359515e-10,,
0.953,6.359515e-10,,
0.954,6.359515e-10,,
0.955,6.356295e-10,,
0.956,6.359515e-10,,
0.957,6.356295e-10,,
0.958,6.359515e-10,,
0.959,6.356295e-10,,
0.96,6.359515e-10,,
0.961,6.356295e-10,,
0.962,6.353074e-10,,
0.963,6.349853e-10,,
0.964,6.349853e-10,,
0.965,6.356295e-10,,
0.966,6.343412e-10,,
0.967,6.346633e-10,,
0.968,6.349853e-10,,
0.969,6.349853e-10,,
0.97,6.346633e-10,,
0.971,6.346633e-10,,
0.972,6.346633e-10,,
0.973,6.353074e-10,,
0.974,6.346633e-10,,
0.975,6.346633e-10,,
0.976,6.349853e-10,,
0.977,6.349853e-10,,
0.978,6.343412e-10,,
0.979,6.343412e-10,,
0.98,6.346633e-10,,
0.981,6.343412e-10,,
0.982,6.340191e-10,,
0.983,6.343412e-10,,
0.984,6.340191e-10,,
0.985,6.343412e-10,,
0.986,6.340191e-10,,
0.987,6.340191e-10,,
0.988,6.340191e-10,,
0.989,6.340191e-10,,
0.99,6.33697e-10,,
0.991,6.340191e-10,,
