Time,Current,Filtered,Current.1,morph_signal,timing_signal
1.432,6.227467e-10,,,6.2292923e-10,-4.137641399999858e-12
1.433,6.227467e-10,,,6.230151133333334e-10,-4.1300727999999285e-12
1.434,6.230688e-10,,,6.230902633333334e-10,-3.800404199999997e-12
1.435,6.227467e-10,,,6.2316541e-10,-4.1155797499999e-12
1.436,6.227467e-10,,,6.232190866666667e-10,-4.1081721500000055e-12
1.437,6.230688e-10,,,6.232942366666666e-10,-3.778664549999902e-12
1.438,6.237129e-10,,,6.233479133333333e-10,-3.1274790500000357e-12
1.439,6.24035e-10,,,6.234123266666666e-10,-2.797649399999896e-12
1.44,6.237129e-10,,,6.234767400000001e-10,-3.1126639000000057e-12
1.441,6.237129e-10,,,6.235304166666667e-10,-3.1055784000000094e-12
1.442,6.237129e-10,,,6.235948300000001e-10,-3.098170799999908e-12
1.443,6.237129e-10,,,6.236485066666667e-10,-3.0910852999999116e-12
1.444,6.233909e-10,,,6.2369145e-10,-3.40616084999999e-12
1.445,6.24035e-10,,,6.237451266666666e-10,-2.7544922500000876e-12
1.446,6.24035e-10,,,6.2380954e-10,-2.7482119500000262e-12
1.447,6.237129e-10,,,6.238524833333334e-10,-3.0635484999999646e-12
1.448,6.243571e-10,,,6.239168966666666e-10,-2.4129071499998974e-12
1.449,6.237129e-10,,,6.2398131e-10,-3.0506657999999434e-12
1.45,6.237129e-10,,,6.240349866666667e-10,-3.0445465499999863e-12
1.451,6.243571e-10,,,6.241101366666667e-10,-2.3943882999999557e-12
1.452,6.24035e-10,,,6.241745499999999e-10,-2.710046949999999e-12
1.453,6.246791e-10,,,6.242282266666667e-10,-2.0595056000000673e-12
1.454,6.24035e-10,,,6.242604333333334e-10,-2.6976473500000145e-12
1.455,6.246791e-10,,,6.243033766666666e-10,-2.047589100000016e-12
1.456,6.243571e-10,,,6.243463200000001e-10,-2.3637918499999954e-12
1.457,6.246791e-10,,,6.244107333333334e-10,-2.035994600000034e-12
1.458,6.243571e-10,,,6.244644133333333e-10,-2.352358399999911e-12
1.459,6.246791e-10,,,6.245073566666667e-10,-2.024561200000019e-12
1.46,6.246791e-10,,,6.245717700000001e-10,-2.0189250000000288e-12
1.461,6.243571e-10,,,6.246254466666667e-10,-2.335288799999906e-12
1.462,6.246791e-10,,,6.246683899999999e-10,-2.007974699999947e-12
1.463,6.246791e-10,,,6.247328033333333e-10,-2.0024994999999916e-12
1.464,6.246791e-10,,,6.247650099999999e-10,-1.997507450000039e-12
1.465,6.250012e-10,,,6.2481869e-10,-1.6707374499999127e-12
1.466,6.246791e-10,,,6.248831033333334e-10,-1.9881674999999642e-12
1.467,6.246791e-10,,,6.2491531e-10,-1.982853350000113e-12
1.468,6.246791e-10,,,6.249582533333334e-10,-1.9781833499999894e-12
1.469,6.253233e-10,,,6.249797266666666e-10,-1.3293134000000336e-12
1.47,6.250012e-10,,,6.2502267e-10,-1.6469044500000165e-12
1.471,6.256453e-10,,,6.250548766666666e-10,-9.979734000000222e-13
1.472,6.253233e-10,,,6.250978166666667e-10,-1.3151423499999715e-12
1.473,6.250012e-10,,,6.251085533333333e-10,-1.6327334000000578e-12
1.474,6.253233e-10,,,6.251514933333333e-10,-1.3064465000000714e-12
1.475,6.256453e-10,,,6.251944366666667e-10,-9.799375500000813e-13
1.476,6.253233e-10,,,6.2523738e-10,-1.297267549999928e-12
1.477,6.256453e-10,,,6.2528032e-10,-9.71241700000078e-13
1.478,6.253233e-10,,,6.253232633333333e-10,-1.2890548000000646e-12
1.479,6.253233e-10,,,6.2535547e-10,-1.2850289500000816e-12
1.48,6.256453e-10,,,6.254091499999998e-10,-9.58681000000023e-13
1.481,6.253233e-10,,,6.254306200000001e-10,-1.276655099999941e-12
1.482,6.253233e-10,,,6.254628266666667e-10,-1.2723071499999562e-12
1.483,6.253233e-10,,,6.255057699999999e-10,-1.26779820000004e-12
1.484,6.253233e-10,,,6.255487133333333e-10,-1.2636113000000562e-12
